eis facility id,company name,site name,primary naics code,site latitude,site longitude,address,city,zip code,eis unit id,unit type,unit description,process description,scc
18199311,FACEBOOK,FACEBOOK,518210,37.479211,-122.171728,JEFFERSON DRIVE,MENLO PARK,94025,141477813,Unclassified,EMERGENCY DIESEL GENERATOR,EMERGENCY DIESEL GENERATOR,20100102
18199311,FACEBOOK,FACEBOOK,518210,37.479211,-122.171728,JEFFERSON DRIVE,MENLO PARK,94025,130607613,Unclassified,STATIONARY STANDBY GENERATOR DIESEL ENGI,STATIONARY STANDBY GENERATOR DIESEL ENGINE,20100102
16010311,"FACEBOOK, INC","FACEBOOK, INC",518210,37.48454,-122.147995,FACEBOOK CAMPUS,MENLO PARK,94025,100517213,Unclassified,STANDBY DIESEL GENERATOR SET,STANDBY DIESEL GENERATOR SET,20100102
16010311,"FACEBOOK, INC","FACEBOOK, INC",518210,37.48454,-122.147995,FACEBOOK CAMPUS,MENLO PARK,94025,141467413,Unclassified,EMERGENCY DIESEL GENERATOR ENGINE,EMERGENCY DIESEL GENERATOR ENGINE,20100102
16010311,"FACEBOOK, INC","FACEBOOK, INC",518210,37.48454,-122.147995,FACEBOOK CAMPUS,MENLO PARK,94025,141467513,Unclassified,EMERGENCY DIESEL GENERATOR ENGINE,EMERGENCY DIESEL GENERATOR ENGINE,20100102
16010311,"FACEBOOK, INC","FACEBOOK, INC",518210,37.48454,-122.147995,FACEBOOK CAMPUS,MENLO PARK,94025,130601913,Unclassified,EMERGENCY DIESEL GENERATOR SET,EMERGENCY DIESEL GENERATOR SET,20100102
16010311,"FACEBOOK, INC","FACEBOOK, INC",518210,37.48454,-122.147995,FACEBOOK CAMPUS,MENLO PARK,94025,130602013,Unclassified,EMERGENCY DIESEL GENERATOR SET,EMERGENCY DIESEL GENERATOR SET,20100102
16010311,"FACEBOOK, INC","FACEBOOK, INC",518210,37.48454,-122.147995,FACEBOOK CAMPUS,MENLO PARK,94025,130602113,Unclassified,STATIONARY STANDBY DIESEL ENGINE GENERAT,STATIONARY STANDBY DIESEL ENGINE GENERATOR,20100102
16010311,"FACEBOOK, INC","FACEBOOK, INC",518210,37.48454,-122.147995,FACEBOOK CAMPUS,MENLO PARK,94025,130602213,Unclassified,FACILITY WIDE WIPE CLEANING OPERATION,FACILITY WIDE WIPE CLEANING OPERATION,40100399
18593011,GOOGLE INC,GOOGLE INC,518210,37.510004,-122.19972,1600 SEAPORT BOULEVARD,REDWOOD CITY,94063,133160013,Unclassified,STATIONARY STANDBY DIESEL GENERATOR SET,STATIONARY STANDBY DIESEL GENERATOR SET,20100102
18595311,"ALEXANDRIA REAL ESTATE EQUITIES, INC","ALEXANDRIA REAL ESTATE EQUITIES, INC",518210,37.654014,-122.395762,249 E GRAND AVENUE,SOUTH SAN FRANCISCO,94080,133163213,Unclassified,EMERGENCY STANDBY DIESEL GENERATOR SET,EMERGENCY STANDBY DIESEL GENERATOR SET,20100102
18596811,GOOGLE LLC,GOOGLE LLC,518210,37.509557,-122.20287,1900 SEAPORT BOULEVARD,REDWOOD CITY,94063,133165813,Unclassified,DIESEL EMERGENCY STANDBY GENERATOR,DIESEL EMERGENCY STANDBY GENERATOR,20100102
18597511,GOOGLE INC,GOOGLE INC,518210,37.629897,-122.419519,999 BAYHILL DRIVE,SAN BRUNO,94066,133166813,Unclassified,EMERGENCY STANDBY DIESEL GENERATOR SET,EMERGENCY STANDBY DIESEL GENERATOR SET,20100102
18588411,STANFORD UNIVERSITY DATA CENTER,STANFORD UNIVERSITY DATA CENTER,518210,37.413248,-122.198886,2575 SAND HILL ROAD,MENLO PARK,94025,133153113,Unclassified,EMERGENCY STANDBY DIESEL GENERATOR SET,EMERGENCY STANDBY DIESEL GENERATOR SET,20100102
18588411,STANFORD UNIVERSITY DATA CENTER,STANFORD UNIVERSITY DATA CENTER,518210,37.413248,-122.198886,2575 SAND HILL ROAD,MENLO PARK,94025,133153213,Unclassified,EMERGENCY STANDBY DIESEL GENERATOR SET,EMERGENCY STANDBY DIESEL GENERATOR SET,20100102
14175311,AT&T CORPORATION,AT&T CORPORATION,518210,37.479474,-122.199469,3175 SPRING STREET,REDWOOD CITY,94063,84442013,Unclassified,EMERGENCY GENERATOR DIESEL ENGINE,EMERGENCY GENERATOR DIESEL ENGINE,20100102
14175311,AT&T CORPORATION,AT&T CORPORATION,518210,37.479474,-122.199469,3175 SPRING STREET,REDWOOD CITY,94063,84441913,Unclassified,EMERGENCY GENERATOR DIESEL ENGINE,EMERGENCY GENERATOR DIESEL ENGINE,20100102
14175311,AT&T CORPORATION,AT&T CORPORATION,518210,37.479474,-122.199469,3175 SPRING STREET,REDWOOD CITY,94063,141453213,Unclassified,EMERGENCY GENERATOR SET DIESEL ENGINE,EMERGENCY GENERATOR SET DIESEL ENGINE,20100102
14175311,AT&T CORPORATION,AT&T CORPORATION,518210,37.479474,-122.199469,3175 SPRING STREET,REDWOOD CITY,94063,141453313,Unclassified,EMERGENCY GENERATOR SET DIESEL ENGINE,EMERGENCY GENERATOR SET DIESEL ENGINE,20100102
19640211,FACEBOOK,FACEBOOK MPK61,518210,37.482662,-122.177405,150 INDEPENDENCE DR,MENLO PARK,94025,141458713,Unclassified,EMERGENCY GENERATOR,EMERGENCY GENERATOR,20100102
14175311,AT&T CORPORATION,AT&T CORPORATION,518210,37.479474,-122.199469,3175 SPRING STREET,REDWOOD CITY,94063,84441813,Unclassified,EMERGENCY GENERATOR DIESEL ENGINE,EMERGENCY GENERATOR DIESEL ENGINE,20100102
10490011,DIGITAL PATH/2X WIRELESS,DIGITAL PATH/2X WIRELESS,518210,39.802,-121.851,4065 MARAUDER STREET,CHICO,95973,52477713,Unclassified,BOOTH,SPRAY COATING,40200101
14342911,TRI COUNTIES BANK,TRI COUNTIES BANK OPERATIONS CENTER,518210,39.798215,-121.850817,890 FORTRESS ST,CHICO,95973,118625013,Unclassified,DIESEL GENERATOR,DIESEL GENERATOR,20100102
18549411,SLATER LAND,SLATER LAND DIGITAL PATH,518210,39.799221,-121.851396,275 AIRPARK BLVD CELL TOWER,CHICO,95973,132953813,Unclassified,GENSET,GENSET,20100301
19302211,TRI COUNTIES BANK,TRI COUNTIES BANK,518210,39.77222,-121.87608,63 CONSTITUTION DR,CHICO,95973,141020013,Unclassified,EMERG. DICE,EMERG. DICE,20100105
15741311,REGULUS,REGULUS,518210,38.257072,-122.27406,860 LATOUR COURT,NAPA,94558,100667713,Unclassified,EMERGENCY STANDBY DIESEL GENERATOR SET,EMERGENCY STANDBY DIESEL GENERATOR SET,20100102
13803911,KAISER PERMANENTE,KAISER PERMANENTE,518210,38.25386,-122.275668,2600 NAPA VALLY CRPRT DR,NAPA,94558,84065213,Unclassified,EMERGENCY STANDBY DIESEL GENERATOR SET #,EMERGENCY STANDBY DIESEL GENERATOR SET #3,20100102
13803911,KAISER PERMANENTE,KAISER PERMANENTE,518210,38.25386,-122.275668,2600 NAPA VALLY CRPRT DR,NAPA,94558,84065313,Unclassified,EMERGENCY STANDBY DIESEL GENERATOR SET #,EMERGENCY STANDBY DIESEL GENERATOR SET #1,20100102
13803911,KAISER PERMANENTE,KAISER PERMANENTE,518210,38.25386,-122.275668,2600 NAPA VALLY CRPRT DR,NAPA,94558,84065113,Unclassified,EMERGENCY STANDBY DIESEL GENERATOR SET #,EMERGENCY STANDBY DIESEL GENERATOR SET #5,20100102
13803911,KAISER PERMANENTE,KAISER PERMANENTE,518210,38.25386,-122.275668,2600 NAPA VALLY CRPRT DR,NAPA,94558,120165313,Unclassified,EMERGENCY STANDBY DIESEL GENERATOR SET,EMERGENCY STANDBY DIESEL GENERATOR SET,20100102
13803911,KAISER PERMANENTE,KAISER PERMANENTE,518210,38.25386,-122.275668,2600 NAPA VALLY CRPRT DR,NAPA,94558,120165413,Unclassified,EMERGENCY STANDBY DIESEL GENERATOR SET,EMERGENCY STANDBY DIESEL GENERATOR SET,20100102
13803911,KAISER PERMANENTE,KAISER PERMANENTE,518210,38.25386,-122.275668,2600 NAPA VALLY CRPRT DR,NAPA,94558,120165513,Unclassified,EMERGENCY STANDBY DIESEL GENERATOR SET,EMERGENCY STANDBY DIESEL GENERATOR SET,20100102
13803911,KAISER PERMANENTE,KAISER PERMANENTE,518210,38.25386,-122.275668,2600 NAPA VALLY CRPRT DR,NAPA,94558,120165613,Unclassified,EMERGENCY STANDBY DIESEL GENERATOR SET,EMERGENCY STANDBY DIESEL GENERATOR SET,20100102
13803911,KAISER PERMANENTE,KAISER PERMANENTE,518210,38.25386,-122.275668,2600 NAPA VALLY CRPRT DR,NAPA,94558,120165113,Unclassified,EMERGENCY STANDBY DIESEL GENERATOR SET,EMERGENCY STANDBY DIESEL GENERATOR SET,20100102
13803911,KAISER PERMANENTE,KAISER PERMANENTE,518210,38.25386,-122.275668,2600 NAPA VALLY CRPRT DR,NAPA,94558,120165213,Unclassified,EMERGENCY STANDBY DIESEL GENERATOR SET,EMERGENCY STANDBY DIESEL GENERATOR SET,20100102
13803911,KAISER PERMANENTE,KAISER PERMANENTE,518210,38.25386,-122.275668,2600 NAPA VALLY CRPRT DR,NAPA,94558,100594413,Unclassified,EMERGENCY STANDBY DIESEL GENERATOR,EMERGENCY STANDBY DIESEL GENERATOR,20100102
